"","X","Plot","Rep","Depth","Year","Season","Cropping.system","Cover","GMC","BD","MBC","pH","AG","BG","CB","LAP","NAG","PHOS","XYL","sep","asep","bac_richness","bac_shannon.div","bac_simpson.div","bac_invsimpson.div","bac_evenness","fun_richness","fun_shannon.div","fun_simpson.div","fun_invsimpson.div","fun_evenness","amf_relabund","amf_richness","amf_shannon.div","amf_simpson.div","amf_invsimpson.div","amf_evenness","plantpath_relabund","plantpath_richness","plantpath_shannon.div","plantpath_simpson.div","plantpath_invsimpson.div","plantpath_evenness","sap_relabund","sap_richness","sap_shannon.div","sap_simpson.div","sap_invsimpson.div","sap_evenness","orgC","totN","POC","MAOC","sandC","POM","MAOM","sandM","POMc","MAOMc","sandc","poxc","noN","nhN","inorgN","P","K","Ca","Mg","Mn","Zn","Al","B","Cu","Fe","Na","Ni","Si","WEC","WEN","WAS","MWD4","MWD5","CCpc","CCc","CCn","CCcn","Wc","Wn","Wcn","inputC","inputN","Weeds","Wheat","Clover","Radish","Vetch","Grass","Yield","Yield.crop","tissue.N.percent","tissue.P.percent","tissue.K.percent","tissue.Ca.percent","tissue.Mg.percent","tissue.S.percent","tissue.B.ppm","tissue.Cu.ppm","tissue.Fe.ppm","tissue.Mn.ppm","tissue.Zn.ppm","tissue.Na.ppm","Notes","season.year","new.name"
"1",1,101,1,"0-10 cm",2020,"Fall","Corn-Corn-Corn","No cover",0.209302326,1.420118002,26.8511,6.67,7.596274,134.026802,54.063896,33.506649,35.381052,283.372654,19.939663,1.514528055,5.335269284,3078,7.5393501,0.999072721,1078.423693,0.938659979,704,4.849201107,0.978327815,46.14209503,0.739570692,0.004103234,19,2.751387064,0.921715952,12.77399447,0.934435077,348,4.58822660306668,0.97543144,40.7024261902204,0.784017063477185,348,0.059940712,57,2.494756933,0.792557498,4.820612898,0.617048058,9.03,0.93,1.4025648,NA,NA,0.73,84.9,13.44,19.27,NA,NA,NA,5.7325,1.83345,7.56595,21.7375,75.385,1020.66,49.2488,34.6323,3.6513,110.633,0.2021,0.6694,12.8389,5.0592,0.581,24.9742,57.99104018,9.609207379,52.42488139,3.664604418,3.553409639,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"note: high ag, high bg, high cb, high phos, high xyl, high invsimpson_bac, high Ni,","Fall 2020","101_Fall_2020"
"4",4,102,1,"0-10 cm",2020,"Fall","Corn-Corn-Corn","Wheat",0.214285714,1.49866797,88.2454,6.66,6.588369,104.174653,37.319336,24.292731,36.003451,283.181246,18.463361,1.72623598,6.75803022,3214,7.448422023,0.99861996,724.616864,0.922374186,680,5.03374002,0.983912195,62.15888248,0.771798282,0.010322159,32,3.187842946,0.950497453,20.20098074,0.919817042,385,4.7953721915846,0.98213464,55.9742428923908,0.805505826372927,385,0.098569891,49,2.484005691,0.82703774,5.781608089,0.638263204,9.93,0.94,1.4025648,NA,NA,0.73,84.9,13.44,19.27,NA,NA,NA,5.965986,1.272899,7.238885,21.7375,75.385,1020.66,49.2488,34.6323,3.6513,110.633,0.2021,0.6694,12.8389,5.0592,0.581,24.9742,58.21359091,11.40720035,51.7369398,3.645395105,3.82022028,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"note: high cb, high phos, high xyl, low bac_evenness, high Ni,","Fall 2020","102_Fall_2020"
"7",7,103,1,"0-10 cm",2020,"Fall","Corn-Corn-Corn","SHM",0.209302326,1.343747806,78.4452,6.63,7.273044,122.758286,45.23008,26.656685,46.320769,263.530581,21.629994,1.376325345,7.207598518,1765,7.020866413,0.998457272,648.2025643,0.93913252,794,5.174986011,0.983923181,62.20135785,0.775036892,0.017779931,50,3.757641375,0.973785759,38.14720429,0.960536625,414,4.84414250478259,0.9802888,50.7325784325664,0.803891511332015,414,0.113407634,59,2.77807611,0.883812438,8.606773246,0.681312226,9.18,0.94,1.4025648,NA,NA,0.73,84.9,13.44,19.27,NA,NA,NA,6.74668,1.414065,8.160745,21.7375,75.385,1020.66,49.2488,34.6323,3.6513,110.633,0.2021,0.6694,12.8389,5.0592,0.581,24.9742,60.48778114,7.906759929,52.69588313,3.453754886,3.369267915,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"note: high ag, high bg, high cb, high nag, high phos, high xyl, high Ni,","Fall 2020","103_Fall_2020"
"10",10,104,1,"0-10 cm",2020,"Fall","Corn-Corn-Corn","Wheat-Clover",0.215686275,1.374925294,27.0421,6.47,7.560562,102.222626,42.315627,41.52317,46.945494,246.899753,23.090284,0.867235561,4.752450872,1740,7.057903431,0.998726496,785.2350631,0.945891662,614,4.219097561,0.952397252,21.00719056,0.657180825,0.027077461,55,3.58851688,0.961299163,25.83923459,0.895487526,303,3.87548004143024,0.94416184,17.9088995769202,0.678274636450164,303,0.06618719,52,2.555335282,0.815277007,5.413511243,0.646716696,9,0.95,1.4025648,NA,NA,0.73,84.9,13.44,19.27,NA,NA,NA,6.602934,1.509265,8.112199,21.7375,75.385,1020.66,49.2488,34.6323,3.6513,110.633,0.2021,0.6694,12.8389,5.0592,0.581,24.9742,69.56367796,6.473577128,63.68670886,3.26686115,3.121875175,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"note: high ag, high cb, high nag, high phos, high xyl, low fun_evenness, high Ni,","Fall 2020","104_Fall_2020"
"13",13,105,1,"0-10 cm",2020,"Fall","Corn-Corn-Corn","Clover",0.2,1.301116103,205.7392,6.345,4.087133,60.595654,22.183368,27.536082,16.808933,142.786229,8.724011,1.761083503,7.295917371,1013,6.568777076,0.998050945,513.0692668,0.949153138,723,4.639035936,0.968796055,32.04722994,0.704655564,0.014464768,50,3.696110762,0.970619468,34.03614333,0.944808033,390,4.40679689267613,0.96559008,29.0613869488799,0.73863367519576,390,0.229719823,70,2.487018591,0.836619957,6.120698613,0.585388108,9.64,1,1.4025648,NA,NA,0.73,84.9,13.44,19.27,NA,NA,NA,13.627661,4.334572,17.962233,21.7375,75.385,1020.66,49.2488,34.6323,3.6513,110.633,0.2021,0.6694,12.8389,5.0592,0.581,24.9742,59.24713677,14.55934244,59.44166447,2.94858045,2.881538927,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"note: high no-n, high inorg. n, high Ni,","Fall 2020","105_Fall_2020"
"16",16,106,1,"0-10 cm",2020,"Fall","Corn-Cotton-Soybean","Wheat",0.230769231,1.276798065,160.8193,6.415,2.792586,53.006481,23.016763,20.108208,22.985102,129.923267,9.219636,1.879963551,8.965980014,2093,7.185092899,0.998740289,793.8331862,0.939675715,865,5.257317024,0.98619826,72.45463191,0.777395727,0.018342722,57,3.766177652,0.972068013,35.80124803,0.931518648,450,4.95566122385736,0.98388568,62.0566055533215,0.811173742219657,450,0.145385632,77,3.14109758,0.912419145,11.41802048,0.723121152,8.98,0.94,0.7309968,NA,NA,0.4,88.48,15.16,18.18,NA,NA,NA,12.939243,5.034862,17.974105,23.0132,81.31,1065.99,51.6547,36.9097,2.3015,121.061,0.22,0.3711,13.9537,5.0506,0.7033,28.7804,52.95304151,13.21239158,57.4832664,3.182820113,3.015681303,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"note: high asept. hyph., high no-n, high nh-n, high inorg. n, high P, high Ni,","Fall 2020","106_Fall_2020"
"19",19,107,1,"0-10 cm",2020,"Fall","Corn-Cotton-Soybean","SHM",0.196969697,1.2341752,83.8766,6.455,4.782418,57.740861,23.332495,23.992509,21.617419,136.655978,8.895377,1.606810198,5.570275354,1040,6.60423637,0.998074331,519.3001315,0.95066348,711,5.198743433,0.987381848,79.25090772,0.791686122,0.021083502,44,3.438169038,0.957604302,23.58729894,0.908561507,400,4.93992500424863,0.98613872,72.1434095552503,0.824493738619063,400,0.145484088,58,2.975202436,0.917031277,12.05273469,0.73272853,8.68,0.9,0.7309968,NA,NA,0.4,88.48,15.16,18.18,NA,NA,NA,10.934496,1.765302,12.699798,23.0132,81.31,1065.99,51.6547,36.9097,2.3015,121.061,0.22,0.3711,13.9537,5.0506,0.7033,28.7804,52.06443498,10.98474208,52.21143474,3.435855159,3.437508598,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"note: high no-n, high P, high Ni,","Fall 2020","107_Fall_2020"
"22",22,108,1,"0-10 cm",2020,"Fall","Corn-Cotton-Soybean","Clover",0.238095238,1.397211996,113.1408,6.43,9.087612,73.448172,33.879482,34.561945,32.59329,150.312336,14.242697,2.354744044,7.027439257,1499,6.886726884,0.998400908,625.3548356,0.941767727,752,4.975756841,0.974011496,38.47855178,0.751314351,0.018254361,44,3.331654146,0.946090187,18.54949859,0.880414162,417,4.72703073574073,0.97153984,35.1368368976141,0.783517848404184,417,0.129510628,70,2.930185126,0.878087729,8.202619747,0.689699519,11.3,1.14,0.7309968,NA,NA,0.4,88.48,15.16,18.18,NA,NA,NA,8.002318,1.881197,9.883515,23.0132,81.31,1065.99,51.6547,36.9097,2.3015,121.061,0.22,0.3711,13.9537,5.0506,0.7033,28.7804,79.44070912,11.77358087,66.0704607,3.125498391,3.064071352,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"note: high ag, high cb, high xyl, high P, high Ni,","Fall 2020","108_Fall_2020"
"25",25,109,1,"0-10 cm",2020,"Fall","Corn-Cotton-Soybean","No cover",0.191489362,1.445589262,32.055,6.51,2.50148,70.888559,23.117693,155.658206,22.25314,127.882022,7.682935,2.089551056,6.61120252,1792,6.959891994,0.99830943,591.5165686,0.929089656,418,3.946244643,0.950198744,20.07981481,0.653840905,0.002030784,12,2.273568795,0.875709669,8.045678145,0.914951391,220,3.72421564493825,0.94385176,17.8099972501364,0.690484393468527,220,0.029949325,31,2.467670143,0.83810506,6.176845301,0.71860202,8.74,0.9,0.7309968,NA,NA,0.4,88.48,15.16,18.18,NA,NA,NA,10.456498,1.349072,11.80557,23.0132,81.31,1065.99,51.6547,36.9097,2.3015,121.061,0.22,0.3711,13.9537,5.0506,0.7033,28.7804,58.64805805,10.83887297,58.41741901,3.43623103,3.367125339,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"note: high lap, low fun_evenness, high pathogen_relabund, high no-n, high P, high Ni,","Fall 2020","109_Fall_2020"
"28",28,110,1,"0-10 cm",2020,"Fall","Corn-Cotton-Soybean","Wheat-Clover",0.204545455,1.359288491,163.3431,6.625,2.430079,71.267753,28.254999,197.575661,21.109352,145.066845,14.010711,2.200407626,6.203927056,1516,6.890309388,0.998352801,607.0913545,0.940806771,576,4.327651338,0.93141548,14.58054965,0.680865015,0.01173605,31,3.087848353,0.940405838,16.78016726,0.899202056,324,4.04416348090927,0.92026832,12.5420660896647,0.699592270416613,324,0.148494243,51,2.878131446,0.911366837,11.28245864,0.732008923,9.6,1,0.7309968,NA,NA,0.4,88.48,15.16,18.18,NA,NA,NA,6.215067,3.377936,9.593003,23.0132,81.31,1065.99,51.6547,36.9097,2.3015,121.061,0.22,0.3711,13.9537,5.0506,0.7033,28.7804,68.51631626,22.7770173,63.3997344,3.183370429,3.10427663,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"note: high lap, high P, high Ni,","Fall 2020","110_Fall_2020"
